Enhetsnavn;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2020-2021;Offentlig;Trinn 5;Begge kjønn;51;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2020-2021;Offentlig;Trinn 5;Jenter;51;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2020-2021;Offentlig;Trinn 5;Gutter;51;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Lesing;2020-2021;Offentlig;Trinn 9;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Lesing;2020-2021;Offentlig;Trinn 9;Jenter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Lesing;2020-2021;Offentlig;Trinn 9;Gutter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2014-2015;Offentlig;Trinn 5;Begge kjønn;53;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2014-2015;Offentlig;Trinn 5;Jenter;53;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2014-2015;Offentlig;Trinn 5;Gutter;52;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2014-2015;Offentlig;Trinn 8;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2014-2015;Offentlig;Trinn 8;Gutter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2014-2015;Offentlig;Trinn 9;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2014-2015;Offentlig;Trinn 9;Jenter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2014-2015;Offentlig;Trinn 9;Gutter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2015-2016;Offentlig;Trinn 5;Begge kjønn;46;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2015-2016;Offentlig;Trinn 5;Jenter;45;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2015-2016;Offentlig;Trinn 5;Gutter;48;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2015-2016;Offentlig;Trinn 8;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2015-2016;Offentlig;Trinn 8;Jenter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2015-2016;Offentlig;Trinn 9;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2015-2016;Offentlig;Trinn 9;Jenter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2015-2016;Offentlig;Trinn 9;Gutter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2016-2017;Offentlig;Trinn 5;Begge kjønn;50;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2016-2017;Offentlig;Trinn 5;Jenter;49;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2016-2017;Offentlig;Trinn 5;Gutter;50;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 8;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 8;Jenter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 8;Gutter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 9;Begge kjønn;.;Skalapoeng
