Enhetsnavn;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2015-2016;Offentlig;Trinn 8;Jenter;51;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2015-2016;Offentlig;Trinn 8;Gutter;55;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2015-2016;Offentlig;Trinn 9;Begge kjønn;58;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2015-2016;Offentlig;Trinn 9;Jenter;57;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2015-2016;Offentlig;Trinn 9;Gutter;59;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 8;Begge kjønn;53;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 8;Jenter;53;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 8;Gutter;52;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 9;Begge kjønn;55;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 9;Jenter;53;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 9;Gutter;58;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2017-2018;Offentlig;Trinn 8;Begge kjønn;53;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2017-2018;Offentlig;Trinn 8;Jenter;50;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2017-2018;Offentlig;Trinn 8;Gutter;56;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2017-2018;Offentlig;Trinn 9;Begge kjønn;57;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2017-2018;Offentlig;Trinn 9;Jenter;57;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2017-2018;Offentlig;Trinn 9;Gutter;57;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2018-2019;Offentlig;Trinn 8;Begge kjønn;53;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2018-2019;Offentlig;Trinn 8;Jenter;51;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2018-2019;Offentlig;Trinn 8;Gutter;55;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2018-2019;Offentlig;Trinn 9;Begge kjønn;57;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2018-2019;Offentlig;Trinn 9;Jenter;54;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2018-2019;Offentlig;Trinn 9;Gutter;60;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2019-2020;Offentlig;Trinn 8;Begge kjønn;52;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2019-2020;Offentlig;Trinn 8;Jenter;50;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2019-2020;Offentlig;Trinn 8;Gutter;54;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2019-2020;Offentlig;Trinn 9;Begge kjønn;56;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2019-2020;Offentlig;Trinn 9;Jenter;54;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2019-2020;Offentlig;Trinn 9;Gutter;59;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2020-2021;Offentlig;Trinn 8;Begge kjønn;52;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2020-2021;Offentlig;Trinn 8;Jenter;52;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2020-2021;Offentlig;Trinn 8;Gutter;52;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2020-2021;Offentlig;Trinn 9;Begge kjønn;55;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2020-2021;Offentlig;Trinn 9;Jenter;54;Skalapoeng
Gosen skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2020-2021;Offentlig;Trinn 9;Gutter;57;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2014-2015;Offentlig;Trinn 5;Begge kjønn;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2014-2015;Offentlig;Trinn 5;Jenter;47;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2014-2015;Offentlig;Trinn 5;Gutter;52;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2015-2016;Offentlig;Trinn 5;Begge kjønn;49;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2015-2016;Offentlig;Trinn 5;Jenter;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2015-2016;Offentlig;Trinn 5;Gutter;49;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2016-2017;Offentlig;Trinn 5;Begge kjønn;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2016-2017;Offentlig;Trinn 5;Jenter;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2016-2017;Offentlig;Trinn 5;Gutter;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2017-2018;Offentlig;Trinn 5;Begge kjønn;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2017-2018;Offentlig;Trinn 5;Jenter;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2017-2018;Offentlig;Trinn 5;Gutter;48;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2018-2019;Offentlig;Trinn 5;Begge kjønn;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2018-2019;Offentlig;Trinn 5;Jenter;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2018-2019;Offentlig;Trinn 5;Gutter;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2019-2020;Offentlig;Trinn 5;Begge kjønn;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2019-2020;Offentlig;Trinn 5;Jenter;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2019-2020;Offentlig;Trinn 5;Gutter;56;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2020-2021;Offentlig;Trinn 5;Begge kjønn;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2020-2021;Offentlig;Trinn 5;Jenter;52;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2020-2021;Offentlig;Trinn 5;Gutter;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2014-2015;Offentlig;Trinn 5;Begge kjønn;48;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2014-2015;Offentlig;Trinn 5;Jenter;48;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2014-2015;Offentlig;Trinn 5;Gutter;48;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2015-2016;Offentlig;Trinn 5;Begge kjønn;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2015-2016;Offentlig;Trinn 5;Jenter;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2015-2016;Offentlig;Trinn 5;Gutter;52;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2016-2017;Offentlig;Trinn 5;Begge kjønn;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2016-2017;Offentlig;Trinn 5;Jenter;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2016-2017;Offentlig;Trinn 5;Gutter;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2017-2018;Offentlig;Trinn 5;Begge kjønn;47;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2017-2018;Offentlig;Trinn 5;Jenter;49;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2017-2018;Offentlig;Trinn 5;Gutter;44;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2018-2019;Offentlig;Trinn 5;Begge kjønn;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2018-2019;Offentlig;Trinn 5;Jenter;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2018-2019;Offentlig;Trinn 5;Gutter;46;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2019-2020;Offentlig;Trinn 5;Begge kjønn;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2019-2020;Offentlig;Trinn 5;Jenter;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2019-2020;Offentlig;Trinn 5;Gutter;57;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2020-2021;Offentlig;Trinn 5;Begge kjønn;49;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2020-2021;Offentlig;Trinn 5;Jenter;53;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Lesing;2020-2021;Offentlig;Trinn 5;Gutter;46;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2014-2015;Offentlig;Trinn 5;Begge kjønn;52;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2014-2015;Offentlig;Trinn 5;Jenter;49;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2014-2015;Offentlig;Trinn 5;Gutter;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2015-2016;Offentlig;Trinn 5;Begge kjønn;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2015-2016;Offentlig;Trinn 5;Jenter;52;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2015-2016;Offentlig;Trinn 5;Gutter;55;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2016-2017;Offentlig;Trinn 5;Begge kjønn;52;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2016-2017;Offentlig;Trinn 5;Jenter;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2016-2017;Offentlig;Trinn 5;Gutter;53;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2017-2018;Offentlig;Trinn 5;Begge kjønn;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2017-2018;Offentlig;Trinn 5;Jenter;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2017-2018;Offentlig;Trinn 5;Gutter;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2018-2019;Offentlig;Trinn 5;Begge kjønn;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2018-2019;Offentlig;Trinn 5;Jenter;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2018-2019;Offentlig;Trinn 5;Gutter;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2019-2020;Offentlig;Trinn 5;Begge kjønn;53;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2019-2020;Offentlig;Trinn 5;Jenter;49;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2019-2020;Offentlig;Trinn 5;Gutter;58;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2020-2021;Offentlig;Trinn 5;Begge kjønn;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2020-2021;Offentlig;Trinn 5;Jenter;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2020-2021;Offentlig;Trinn 5;Gutter;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Engelsk avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Begge kjønn;54;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Engelsk avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Jenter;52;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Engelsk avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Gutter;55;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Lesing avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Begge kjønn;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Lesing avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Jenter;48;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Lesing avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Gutter;52;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Begge kjønn;51;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Jenter;50;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Gutter;52;Skalapoeng
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2007-2008;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2007-2008;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2007-2008;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2008-2009;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2008-2009;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2008-2009;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2009-2010;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2009-2010;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2009-2010;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2010-2011;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2010-2011;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2010-2011;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2012-2013;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2012-2013;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2012-2013;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2013-2014;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2013-2014;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2013-2014;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2007-2008;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2007-2008;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2007-2008;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2008-2009;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2008-2009;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2008-2009;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2009-2010;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2009-2010;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2009-2010;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2010-2011;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2010-2011;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2010-2011;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2011-2012;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2011-2012;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2011-2012;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2012-2013;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2012-2013;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2012-2013;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2013-2014;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2013-2014;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2013-2014;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Regning;2007-2008;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Regning;2007-2008;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Regning;2007-2008;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Regning;2008-2009;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Regning;2008-2009;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Regning;2008-2009;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Regning;2009-2010;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Regning;2009-2010;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Regning;2009-2010;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Hafrsfjord skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Regning;2010-2011;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
