,index,enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
46,3117,Madlamark skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,50.0
47,3138,Madlamark skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,49.0
48,3159,Madlamark skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,51.0
49,3249,Madlavoll skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,50.0
50,3270,Madlavoll skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51.0
51,3291,Madlavoll skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,51.0
52,3381,Mosterøy skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,52.0
53,3402,Mosterøy skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51.0
54,3423,Mosterøy skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,49.0
55,3513,Nylund skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,52.0
56,3534,Nylund skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51.0
57,3555,Nylund skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,47.0
58,4010,Roaldsøy skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,52.0
59,4031,Roaldsøy skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,47.0
60,4052,Roaldsøy skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,55.0
61,4135,Sjernarøy oppvekstsenter - Avdeling skule,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,
62,4149,Sjernarøy oppvekstsenter - Avdeling skule,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,
63,4163,Sjernarøy oppvekstsenter - Avdeling skule,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,
64,4235,Skeie skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,50.0
65,4256,Skeie skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,50.0
66,4277,Skeie skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,49.0
67,4577,Storhaug skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,53.0
68,4598,Storhaug skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51.0
69,4619,Storhaug skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,47.0
70,4709,Sunde skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,51.0
71,4730,Sunde skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,49.0
72,4751,Sunde skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,50.0
73,4841,Tasta skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,49.0
74,4862,Tasta skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51.0
75,4883,Tasta skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,50.0
76,5260,Teinå skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,55.0
77,5281,Teinå skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,55.0
78,5302,Teinå skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,55.0
79,5392,Tjensvoll skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,54.0
80,5413,Tjensvoll skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51.0
81,5434,Tjensvoll skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,52.0
82,5629,Vardenes skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,51.0
83,5650,Vardenes skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51.0
84,5671,Vardenes skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,51.0
85,5761,Vassøy skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,47.0
86,5782,Vassøy skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,47.0
87,5803,Vassøy skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,46.0
88,5888,Vaulen skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,53.0
89,5909,Vaulen skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,53.0
90,5930,Vaulen skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,54.0
91,6014,Vikevåg skule,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,50.0
92,6029,Vikevåg skule,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,48.0
93,6044,Vikevåg skule,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,51.0
94,6065,Våland skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,52.0
95,6086,Våland skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51.0
96,6107,Våland skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,52.0
