enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,54
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,56
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,51
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,49
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,46
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,48
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,43
Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,47
Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,54
Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,47
Finnøy sentralskule,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,56
Finnøy sentralskule,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,49
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,51
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,53
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,53
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,52
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,55
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,54
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,52
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,51
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,54
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,51
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,56
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,53
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,52
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,54
Gausel skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,50
Gausel skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,48
Gausel skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,52
Gausel skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,55
Gausel skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,47
Gausel skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,48
Gausel skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,49
Gautesete skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,54
Gautesete skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,54
Gautesete skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,49
Gautesete skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,46
Gautesete skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,50
Gautesete skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,52
