enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,56
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,53
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,56
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,54
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,48
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,48
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,45
Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,53
Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,50
Finnøy sentralskule,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,50
Finnøy sentralskule,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,51
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,53
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,53
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,53
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,58
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,54
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,54
Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,52
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,52
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,55
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,48
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,52
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,52
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,52
Gausel skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,53
Gausel skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,52
Gausel skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,53
Gausel skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,52
Gausel skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,55
Gausel skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,50
Gausel skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,54
Gausel skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,54
Gautesete skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,50
Gautesete skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,47
Gautesete skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,52
Gautesete skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,49
Gautesete skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,46
Gautesete skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,42
Gautesete skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,46
Gautesete skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,44
Gautesete skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,50
Gautesete skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,44
Gautesete skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,48
Gautesete skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,49
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,54
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,61
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,53
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,53
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,54
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,55
