enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2012-2013,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2013-2014,Trinn 5,Jenter,
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2014-2015,Trinn 8,Jenter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2015-2016,Trinn 8,Jenter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2016-2017,Trinn 8,Jenter,53
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2017-2018,Trinn 8,Jenter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2018-2019,Trinn 8,Jenter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2019-2020,Trinn 8,Jenter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2020-2021,Trinn 8,Jenter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 8,Jenter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Jenter,57
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 8,Jenter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Jenter,55
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 8,Jenter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Jenter,55
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 8,Jenter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Jenter,56
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 8,Jenter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Jenter,56
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Jenter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Jenter,55
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 8,Jenter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Jenter,54
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 8,Jenter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Jenter,57
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 8,Jenter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Jenter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Jenter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Jenter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 8,Jenter,49
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Jenter,54
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 8,Jenter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Jenter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 8,Jenter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Jenter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 8,Jenter,47
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Jenter,51
Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,
Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,
Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,
Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,55
Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,50
Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,
