enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,49
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,53
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,54
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,54
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,55
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,53
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,55
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,53
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,53
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,50
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,55
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,48
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,45
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,52
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,54
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,56
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,57
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,49
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,53
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,55
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,55
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,54
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,53
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,55
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,53
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,56
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,53
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,56
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,57
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,56
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,56
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,56
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,56
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,54
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,55
Gosen skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,55
Gosen skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,56
Gosen skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,55
Gosen skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,55
Gosen skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,59
Gosen skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,56
Gosen skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,53
Gosen skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,57
Gosen skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,59
Gosen skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,58
Gosen skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,57
Gosen skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,60
Gosen skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,59
Gosen skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,57
Hinna skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,57
Hinna skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,53
Hinna skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,58
Hinna skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,54
Hinna skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,56
Hinna skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,53
Hinna skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,58
Hinna skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,59
Hinna skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,63
Hinna skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,54
Hinna skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,60
Hinna skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,56
Kannik skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,55
Kannik skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,56
Kannik skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,58
Kannik skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,57
Kannik skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,56
Kannik skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,56
Kannik skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,54
Kannik skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,55
Kannik skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,59
Kannik skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,59
Kannik skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,58
Kannik skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,58
Kannik skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,60
Kannik skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,56
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,55
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,52
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,57
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,52
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,55
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,56
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,53
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,57
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,55
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,59
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,56
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,56
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,59
Kristianslyst skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,55
Lunde skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,56
Lunde skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,51
Lunde skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,49
Lunde skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,54
Lunde skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,54
Lunde skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,54
Lunde skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,53
Rennesøy skule,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,51
Rennesøy skule,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,52
Rennesøy skule,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,53
Rennesøy skule,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,55
Rennesøy skule,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,58
Rennesøy skule,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,56
Rennesøy skule,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,52
Rennesøy skule,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,55
Rennesøy skule,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,56
Rennesøy skule,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,59
Rennesøy skule,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,59
Rennesøy skule,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,60
Rennesøy skule,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,60
Rennesøy skule,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,57
Revheim skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,51
Revheim skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,53
Revheim skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,51
Revheim skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,57
Revheim skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,58
Revheim skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,55
Revheim skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,58
Revheim skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,55
Revheim skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,57
Revheim skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,54
Revheim skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,57
Revheim skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,61
Revheim skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,58
Revheim skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,61
Smiodden skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,48
Smiodden skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,50
Smiodden skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,49
Smiodden skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,50
Smiodden skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,47
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,52
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,52
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,50
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,54
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,50
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,51
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,54
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,51
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,50
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,51
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,50
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,52
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,51
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,57
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,56
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,54
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,56
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,52
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,53
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,53
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,53
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,52
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,52
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,51
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,51
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,53
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,52
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,52
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,55
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,55
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,54
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,53
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,56
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,57
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,52
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,52
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,53
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,54
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,52
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,52
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,50
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,53
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,54
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,57
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,57
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Gutter,55
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Gutter,57
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,55
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,51
